,city,lat,temp,humidity,cloudiness,windspeed
0,Salalah,17.01,77.0,27,0,9.17
1,New Norfolk,-42.78,57.2,58,20,5.82
2,Busselton,-33.64,63.43,100,0,18.79
3,Tawau,4.26,75.2,94,75,2.68
4,Palana,59.08,1.78,58,0,3.13
5,Saint Anthony,43.97,23.0,67,1,4.14
6,Karratha,-20.74,72.34,62,0,3.36
7,Shahr-e Babak,30.12,26.3,63,24,6.71
8,Mataura,-46.19,54.79,89,92,2.35
9,Kaitangata,-46.28,57.31,81,92,5.93
10,Rikitea,-23.12,78.95,100,76,13.98
11,Sokoni,-12.89,67.21,100,92,4.92
12,Ushuaia,-54.81,42.8,81,75,39.15
13,Kapaa,22.08,78.98,73,90,9.17
14,Saint-Philippe,45.36,8.6,60,1,10.29
15,Tasiilaq,65.61,15.8,72,8,4.7
16,Mar del Plata,-46.43,69.91,29,12,13.98
17,Plati,35.17,53.6,87,75,21.92
18,Tupaciguara,-18.59,84.04,66,20,3.69
19,Shizunai,42.33,2.0,100,0,5.59
20,Yellowknife,62.45,-4.01,76,90,11.41
21,Puerto Ayora,-0.74,86.0,58,75,17.22
22,Ganzhou,25.86,44.93,99,92,2.68
23,San Patricio,-26.98,79.27,93,36,3.13
24,Qaanaaq,77.48,-23.47,100,0,8.61
25,Brun,35.7,-4.21,81,32,1.57
26,Sfantu Gheorghe,44.65,19.4,92,40,4.7
27,Tessalit,20.2,52.18,21,48,8.95
28,Samarai,-10.62,80.44,100,56,10.96
29,Mutis,6.23,80.62,100,8,4.47
30,Longyearbyen,78.22,8.6,50,20,19.46
31,Ban Nahin,18.24,65.45,91,48,1.9
32,Kysyl-Syr,63.9,-20.68,60,36,6.71
33,Nikolskoye,59.7,19.4,92,40,11.18
34,Coquimbo,-29.95,68.0,60,20,13.87
35,Nouadhibou,20.93,66.2,45,0,11.41
36,Barrow,-38.31,73.28,95,36,6.6
37,Serebryanyy Bor,56.8,-11.19,68,36,2.8
38,Hithadhoo,-0.6,81.34,100,8,4.36
39,Shitanjing,39.23,-5.7,48,12,1.12
40,Tiksi,71.64,-26.04,40,44,8.39
41,Piquete,-22.61,86.0,51,40,6.93
42,Jamestown,-33.21,65.32,37,0,11.97
43,Atuona,-9.8,78.73,100,80,16.44
44,Bambous Virieux,-20.34,80.6,78,40,12.75
45,Castro,-42.48,57.2,67,75,6.93
46,Dingle,11.0,74.59,94,56,12.19
47,Albion,41.69,26.96,92,90,12.75
48,Batagay-Alyta,67.8,-32.92,54,24,4.59
49,Hermanus,-34.42,60.01,65,0,9.4
50,Ballina,54.11,48.53,96,88,17.78
51,Bluff,-23.58,70.58,78,0,7.16
52,Codrington,-28.95,71.6,83,64,3.58
53,Severo-Kurilsk,50.68,32.15,100,88,15.55
54,El Rosario,22.99,82.4,54,5,6.93
55,Oktyabrskiy,55.61,15.8,92,90,6.71
56,Sikandra,26.37,48.04,85,0,3.13
57,Srednekolymsk,67.46,-20.82,61,92,3.13
58,Manado,1.49,75.2,100,40,1.12
59,Arraial do Cabo,-22.97,86.0,69,20,16.11
60,Belmonte,40.36,34.76,84,0,7.16
61,Saskylakh,71.97,-54.75,0,0,4.14
62,Albany,42.65,24.08,34,20,11.41
63,Avera,33.19,53.6,66,90,6.93
64,Maceio,-9.67,80.6,65,0,6.93
65,Port Elizabeth,39.31,33.98,31,75,4.7
66,Xianshuigu,38.98,21.2,100,90,4.47
67,Cidreira,-30.17,75.53,89,92,15.55
68,Nemuro,43.32,27.88,100,12,22.93
69,Jos,9.92,62.3,50,8,4.25
70,Carauari,-4.88,83.32,80,64,2.8
71,Hobart,-42.88,57.2,58,20,5.82
72,Constitucion,23.99,66.2,20,20,2.24
73,Bredasdorp,-34.53,64.4,48,0,12.75
74,Taoudenni,22.68,54.74,30,0,12.75
75,Kristiansund,63.12,33.8,86,92,5.82
76,Husavik,50.56,18.07,95,76,7.05
77,Weinan,34.5,15.8,92,56,2.24
78,Cape Town,-33.93,66.2,68,40,10.29
79,Ust-Maya,60.42,-35.49,67,32,2.57
80,Virginia Beach,36.85,42.98,54,90,10.29
81,Wilmington,39.75,35.06,73,1,4.14
82,Vaini,15.34,59.47,86,0,3.02
83,Malayal,7.21,73.4,94,20,10.18
84,Karpathos,35.51,59.0,72,64,17.22
85,Arvika,59.65,19.4,100,0,2.13
86,Georgetown,6.8,82.4,69,75,13.87
87,Pak Phanang,8.35,77.74,100,92,3.69
88,Conceicao do Mato Dentro,-19.04,79.31,67,24,6.38
89,Los Llanos de Aridane,28.66,60.8,63,0,6.93
90,Cherskiy,68.75,-17.26,51,56,1.57
91,Kensington,46.44,8.6,65,75,9.17
92,Mahebourg,-20.41,80.6,78,40,12.75
93,Vaitape,-16.52,81.16,100,80,22.59
94,Torbay,47.66,32.0,100,90,16.11
95,Dikson,73.51,-17.35,100,76,32.44
96,Hilo,19.71,73.04,81,90,4.7
97,Punta Arenas,-53.16,50.0,53,0,28.86
98,Tuktoyaktuk,69.44,-18.41,75,40,8.05
99,Richards Bay,-28.77,69.14,92,8,2.91
100,Kamenka,53.19,9.52,81,68,11.41
101,Nome,30.04,71.96,42,1,17.22
102,Autun,46.95,41.0,93,90,10.29
103,Mikhaylovka,52.96,0.16,72,56,7.83
104,Port Alfred,-33.59,68.38,90,0,3.24
105,San Juan,-31.54,86.38,29,0,5.37
106,Ancud,-41.87,57.2,67,75,6.93
107,Thompson,55.74,12.2,78,90,11.41
108,Hasaki,35.73,37.4,86,90,8.05
109,Keti Bandar,24.14,66.89,100,0,10.63
110,Price,39.6,37.04,53,1,1.9
111,Caravelas,-17.73,80.89,100,12,11.63
112,Ahipara,-35.17,71.89,70,8,5.03
113,Oriximina,-1.77,84.71,71,48,3.24
114,San Cristobal,-0.39,68.0,56,75,18.34
115,Geraldton,49.72,5.0,38,20,3.36
116,Kruisfontein,-34.0,63.38,90,0,7.49
117,Moi,58.46,42.91,100,56,14.99
118,Kholtoson,50.3,-18.39,45,48,2.57
119,Vila Velha,-3.71,82.4,74,0,5.82
120,Manono,-7.3,71.75,92,88,3.02
121,Dongsheng,29.72,37.28,92,36,5.48
122,Fulton,43.32,23.0,53,1,4.7
123,Ukiah,39.15,60.98,62,40,6.93
124,Gorontalo,0.54,73.33,97,24,2.01
125,Haines Junction,60.75,-18.25,46,12,2.13
126,Chilmari,25.59,49.88,76,0,2.91
127,Mehamn,71.03,31.66,90,88,13.98
128,Sao Joao da Barra,-21.64,82.4,65,0,18.34
129,Matagami,9.67,71.48,29,8,7.72
130,Klaksvik,62.23,42.8,100,92,3.36
131,Palmer,-34.85,62.6,59,20,5.82
132,Baykit,61.68,-32.02,53,8,3.69
133,Khatanga,71.98,-28.87,47,48,12.19
134,Yenagoa,4.92,82.33,65,32,10.63
135,Ribeira Grande,38.52,60.8,72,20,16.11
136,Auchi,7.07,72.2,69,12,2.8
137,Kavieng,-2.57,81.29,100,48,10.4
138,Tubuala,9.52,80.17,85,92,10.18
139,Miri,10.31,64.46,56,8,3.13
140,Horta,41.43,41.0,100,0,5.82
141,Avarua,-21.21,84.2,74,75,8.05
142,Lagoa,37.14,50.0,53,0,9.17
143,Krabi,8.06,75.2,94,20,6.93
144,Vallenar,-28.58,69.64,62,0,3.13
145,Buzmeyin,38.05,35.6,63,40,4.7
146,Broome,52.47,48.2,93,75,12.75
147,Teya,21.05,86.0,33,20,4.7
148,Shahrud,36.42,19.42,76,0,4.92
149,Butaritari,3.07,83.32,100,76,10.4
150,Gueret,46.17,39.2,93,90,8.05
151,Havelock,34.88,44.96,60,90,12.75
152,Tiznit,29.7,51.5,92,20,3.13
153,Cabo San Lucas,22.89,77.0,60,5,11.41
154,Great Yarmouth,52.61,48.2,93,75,12.75
155,Yumen,40.29,-5.11,46,8,3.58
156,Ahuimanu,21.44,80.06,68,90,3.36
157,Fethiye,36.62,53.6,76,75,6.93
158,Fort Nelson,58.81,-0.41,70,75,3.36
159,Sioux Lookout,50.1,15.8,72,90,3.36
160,Port Hedland,-20.31,80.6,94,56,6.93
161,Tuatapere,-46.13,55.24,100,92,8.95
162,East London,-33.02,73.1,99,0,17.67
163,Bom Jesus,-9.08,91.73,37,12,7.94
